image_name_1,image_name_2
ISIC_0079038,ISIC_8521950
ISIC_0087297,ISIC_4755972
ISIC_0088137,ISIC_4201955
ISIC_0112097,ISIC_5934021
ISIC_0148783,ISIC_7460560
ISIC_0149568,ISIC_9022005
ISIC_0157530,ISIC_3986853
ISIC_0184944,ISIC_2283336
ISIC_0192490,ISIC_5956536
ISIC_0196945,ISIC_8108340
ISIC_0207209,ISIC_2961141
ISIC_0213336,ISIC_7923858
ISIC_0229600,ISIC_1192253
ISIC_0238002,ISIC_6602795
ISIC_0240628,ISIC_9361467
ISIC_0254686,ISIC_7838687
ISIC_0277354,ISIC_4436810
ISIC_0292158,ISIC_8284364
ISIC_0308133,ISIC_7456073
ISIC_0313653,ISIC_1661411
ISIC_0316025,ISIC_0378118
ISIC_0337921,ISIC_4364169
ISIC_0358326,ISIC_4745049
ISIC_0363130,ISIC_2750577
ISIC_0367225,ISIC_8469351
ISIC_0370932,ISIC_9391954
ISIC_0385633,ISIC_3707449
ISIC_0386664,ISIC_1922645
ISIC_0401116,ISIC_0467724
ISIC_0409276,ISIC_7861914
ISIC_0412659,ISIC_4792222
ISIC_0434354,ISIC_0707446
ISIC_0437284,ISIC_7226080
ISIC_0441886,ISIC_9618840
ISIC_0449983,ISIC_3988396
ISIC_0481059,ISIC_5484776
ISIC_0481910,ISIC_5889146
ISIC_0485815,ISIC_2619603
ISIC_0494257,ISIC_2783475
ISIC_0512155,ISIC_7167788
ISIC_0516613,ISIC_3452266
ISIC_0523031,ISIC_3417128
ISIC_0535654,ISIC_1368313
ISIC_0544886,ISIC_2127378
ISIC_0558485,ISIC_8195031
ISIC_0573666,ISIC_1702152
ISIC_0586680,ISIC_2828001
ISIC_0586782,ISIC_8732572
ISIC_0589744,ISIC_4939916
ISIC_0604088,ISIC_6346327
ISIC_0608625,ISIC_2329149
ISIC_0614271,ISIC_6551180
ISIC_0641973,ISIC_4279689
ISIC_0658225,ISIC_6907218
ISIC_0659540,ISIC_3301909
ISIC_0675028,ISIC_5819728
ISIC_0680210,ISIC_7984646
ISIC_0694559,ISIC_2210577
ISIC_0720915,ISIC_9005542
ISIC_0721819,ISIC_8317513
ISIC_0723505,ISIC_9012331
ISIC_0733140,ISIC_3173348
ISIC_0754561,ISIC_8379578
ISIC_0758009,ISIC_6892485
ISIC_0761049,ISIC_3046930
ISIC_0786170,ISIC_9551410
ISIC_0789732,ISIC_8303710
ISIC_0822116,ISIC_7140537
ISIC_0825113,ISIC_4390848
ISIC_0856856,ISIC_2000346
ISIC_0873114,ISIC_8773962
ISIC_0873571,ISIC_3058615
ISIC_0876992,ISIC_4514446
ISIC_0878793,ISIC_7160845
ISIC_0884576,ISIC_9403292
ISIC_0919271,ISIC_1918077
ISIC_0956562,ISIC_4528262
ISIC_0981657,ISIC_7109227
ISIC_0983569,ISIC_1876409
ISIC_1003703,ISIC_8792040
ISIC_1011754,ISIC_6892199
ISIC_1017015,ISIC_5743527
ISIC_1020608,ISIC_9740764
ISIC_1021883,ISIC_9651608
ISIC_1026239,ISIC_6233631
ISIC_1062359,ISIC_1514098
ISIC_1087367,ISIC_3695494
ISIC_1087658,ISIC_7102070
ISIC_1091253,ISIC_9325527
ISIC_1096503,ISIC_2977718
ISIC_1104762,ISIC_6691662
ISIC_1122727,ISIC_6968835
ISIC_1174073,ISIC_4003722
ISIC_1182624,ISIC_2037182
ISIC_1188141,ISIC_6351451
ISIC_1196752,ISIC_9750885
ISIC_1199920,ISIC_1971370
ISIC_1200790,ISIC_8849520
ISIC_1224295,ISIC_7111646
ISIC_1245414,ISIC_8686962
ISIC_1252029,ISIC_2735754
ISIC_1252797,ISIC_2744850
ISIC_1252871,ISIC_2380958
ISIC_1264914,ISIC_2541572
ISIC_1270351,ISIC_7205493
