,file,target
0,ISIC_1569119,1
1,ISIC_7536704,1
2,ISIC_3696488,1
3,ISIC_3343475,1
4,ISIC_7785723,1
5,ISIC_5166798,1
6,ISIC_2406492,1
7,ISIC_4810142,1
8,ISIC_1484659,1
9,ISIC_9870885,1
10,ISIC_2255411,1
11,ISIC_1834920,1
12,ISIC_5086349,1
13,ISIC_1388552,1
14,ISIC_0351666,1
15,ISIC_2937642,1
16,ISIC_3301933,1
17,ISIC_1729223,1
18,ISIC_8167374,1
19,ISIC_2232442,1
20,ISIC_6555290,1
21,ISIC_6851408,1
22,ISIC_0844312,1
23,ISIC_0149568,1
24,ISIC_9900191,1
25,ISIC_8882374,1
26,ISIC_6017985,1
27,ISIC_5732201,1
28,ISIC_4967586,1
29,ISIC_5021861,1
30,ISIC_0559335,1
31,ISIC_7327423,1
32,ISIC_2221217,1
33,ISIC_1752943,1
34,ISIC_6255113,1
35,ISIC_6278273,1
36,ISIC_0502582,1
37,ISIC_4916704,1
38,ISIC_5495413,1
39,ISIC_2646829,1
40,ISIC_4960784,1
41,ISIC_7183212,1
42,ISIC_8892236,1
43,ISIC_7233368,1
44,ISIC_4170698,1
45,ISIC_4493482,1
46,ISIC_9000824,1
47,ISIC_9593940,1
48,ISIC_1159891,1
49,ISIC_3821242,1
50,ISIC_1068686,1
51,ISIC_1866770,1
52,ISIC_4517738,1
53,ISIC_2105563,1
54,ISIC_4653503,1
55,ISIC_9998682,1
56,ISIC_7960869,1
57,ISIC_7293518,1
58,ISIC_8450656,1
59,ISIC_6539127,1
60,ISIC_8737794,1
61,ISIC_6713432,1
62,ISIC_4346693,1
63,ISIC_9038318,1
64,ISIC_1393771,1
65,ISIC_7658729,1
66,ISIC_6829008,1
67,ISIC_4874581,1
68,ISIC_3391427,1
69,ISIC_8521610,1
70,ISIC_9317483,1
71,ISIC_2720971,1
72,ISIC_2320481,1
73,ISIC_7205745,1
74,ISIC_7763042,1
75,ISIC_3244067,1
76,ISIC_8672524,1
77,ISIC_5037784,1
78,ISIC_4012047,1
79,ISIC_7961365,1
80,ISIC_8194835,1
81,ISIC_9022005,1
82,ISIC_6352565,1
83,ISIC_9052500,1
84,ISIC_7577395,1
85,ISIC_2200197,1
86,ISIC_3446357,1
87,ISIC_2607827,1
88,ISIC_5829938,1
89,ISIC_0273046,1
90,ISIC_8527092,1
91,ISIC_0504165,1
92,ISIC_3023646,1
93,ISIC_9978107,1
