,file,target
0,ISIC_0065823,1
1,ISIC_0013908_downsampled,1
2,ISIC_0054089,1
3,ISIC_0061371,1
4,ISIC_8702237,1
5,ISIC_0066200,1
6,ISIC_0055460,1
7,ISIC_0062099,1
8,ISIC_0034289,1
9,ISIC_0014543_downsampled,1
10,ISIC_0071700,1
11,ISIC_0026545,1
12,ISIC_0054874,1
13,ISIC_0055859,1
14,ISIC_0027089,1
15,ISIC_0010241,1
16,ISIC_0064116,1
17,ISIC_0054459,1
18,ISIC_3738751,1
19,ISIC_0031529,1
20,ISIC_0034134,1
21,ISIC_0030925,1
22,ISIC_0070551,1
23,ISIC_3394520,1
24,ISIC_0032913,1
25,ISIC_0030417,1
26,ISIC_0030445,1
27,ISIC_0013530_downsampled,1
28,ISIC_0032219,1
29,ISIC_0067804,1
30,ISIC_9677503,1
31,ISIC_0055265,1
32,ISIC_0069077,1
33,ISIC_2535541,1
34,ISIC_0059147,1
35,ISIC_0059816,1
36,ISIC_0030366,1
37,ISIC_7961365,1
38,ISIC_0054691,1
39,ISIC_0000040_downsampled,1
40,ISIC_0053545,1
41,ISIC_7785723,1
42,ISIC_0029843,1
43,ISIC_0030060,1
44,ISIC_0062251,1
45,ISIC_0067502,1
46,ISIC_0033074,1
47,ISIC_0068583,1
48,ISIC_0033655,1
49,ISIC_7788318,1
50,ISIC_0058935,1
51,ISIC_0061108,1
52,ISIC_0053796,1
53,ISIC_0070968,1
54,ISIC_0014219_downsampled,1
55,ISIC_0028897,1
56,ISIC_0033578,1
57,ISIC_3343475,1
58,ISIC_0064692,1
59,ISIC_0067248,1
60,ISIC_0025603,1
61,ISIC_0067614,1
62,ISIC_0068941,1
63,ISIC_0033708,1
64,ISIC_0056202,1
65,ISIC_0033526,1
66,ISIC_0055820,1
67,ISIC_0062712,1
68,ISIC_0071458,1
69,ISIC_0032532,1
70,ISIC_0057556,1
71,ISIC_0059313,1
72,ISIC_0064517,1
73,ISIC_0072371,1
74,ISIC_0055892,1
75,ISIC_0072586,1
76,ISIC_3341710,1
77,ISIC_0056793,1
78,ISIC_0032699,1
79,ISIC_0027442,1
80,ISIC_0061806,1
81,ISIC_0057328,1
82,ISIC_0062919,1
83,ISIC_0066860,1
84,ISIC_0031233,1
