,file,target
0,ISIC_0064868,1
1,ISIC_0032617,1
2,ISIC_0061378,1
3,ISIC_0065382,1
4,ISIC_5732201,1
5,ISIC_0055167,1
6,ISIC_0033470,1
7,ISIC_0067240,1
8,ISIC_0027069,1
9,ISIC_0072990,1
10,ISIC_3684488,1
11,ISIC_4223155,1
12,ISIC_0014548_downsampled,1
13,ISIC_0056102,1
14,ISIC_0000164,1
15,ISIC_0064632,1
16,ISIC_9001948,1
17,ISIC_0025616,1
18,ISIC_0014518_downsampled,1
19,ISIC_0071197,1
20,ISIC_1356715,1
21,ISIC_0067934,1
22,ISIC_0055147,1
23,ISIC_0063811,1
24,ISIC_0029157,1
25,ISIC_0013073_downsampled,1
26,ISIC_0061829,1
27,ISIC_0072171,1
28,ISIC_1388552,1
29,ISIC_0031208,1
30,ISIC_0027956,1
31,ISIC_0032841,1
32,ISIC_0068385,1
33,ISIC_0064993,1
34,ISIC_0015204_downsampled,1
35,ISIC_0033607,1
36,ISIC_3416107,1
37,ISIC_6539127,1
38,ISIC_0013490_downsampled,1
39,ISIC_0071218,1
40,ISIC_0062688,1
41,ISIC_0072330,1
42,ISIC_0000163,1
43,ISIC_0033653,1
44,ISIC_0065655,1
45,ISIC_0033122,1
46,ISIC_0027673,1
47,ISIC_0032424,1
48,ISIC_0066122,1
49,ISIC_0066776,1
50,ISIC_0061281,1
51,ISIC_0028567,1
52,ISIC_0000487,1
53,ISIC_0026652,1
54,ISIC_0055264,1
55,ISIC_0071808,1
56,ISIC_0033278,1
57,ISIC_0025235,1
58,ISIC_0069617,1
59,ISIC_0028916,1
60,ISIC_0055902,1
61,ISIC_2739449,1
62,ISIC_0029000,1
63,ISIC_0034180,1
64,ISIC_0013277_downsampled,1
65,ISIC_0062155,1
66,ISIC_0059992,1
67,ISIC_0056863,1
68,ISIC_0060577,1
69,ISIC_0027067,1
70,ISIC_0033037,1
71,ISIC_0067333,1
72,ISIC_3969411,1
73,ISIC_0025268,1
74,ISIC_0000531,1
75,ISIC_0058716,1
76,ISIC_0065853,1
77,ISIC_0061798,1
78,ISIC_0010080,1
79,ISIC_0026735,1
80,ISIC_0060118,1
81,ISIC_0026823,1
82,ISIC_0057299,1
83,ISIC_0000002,1
84,ISIC_4425322,1
85,ISIC_0062935,1
86,ISIC_0000078_downsampled,1
87,ISIC_0000393_downsampled,1
88,ISIC_0061188,1
89,ISIC_0072755,1
90,ISIC_0011161,1
91,ISIC_8493108,1
92,ISIC_0059941,1
93,ISIC_0062547,1
94,ISIC_0070961,1
95,ISIC_0059435,1
96,ISIC_0066332,1
97,ISIC_0056788,1
98,ISIC_0032684,1
99,ISIC_0029571,1
100,ISIC_0063551,1
101,ISIC_0061479,1
102,ISIC_7546219,1
103,ISIC_0027552,1
104,ISIC_0067758,1
105,ISIC_0032960,1
106,ISIC_0061231,1
107,ISIC_0034216,1
108,ISIC_0058426,1
109,ISIC_0012756_downsampled,1
110,ISIC_0072441,1
111,ISIC_0062628,1
112,ISIC_0055643,1
113,ISIC_0033546,1
114,ISIC_0011305,1
115,ISIC_0066105,1
116,ISIC_0064563,1
117,ISIC_0031554,1
118,ISIC_0028288,1
119,ISIC_0011166,1
120,ISIC_4425657,1
121,ISIC_0056914,1
122,ISIC_6355353,1
123,ISIC_0027561,1
124,ISIC_0027352,1
125,ISIC_6713432,1
126,ISIC_0014331_downsampled,1
127,ISIC_0057089,1
128,ISIC_0025413,1
129,ISIC_0030950,1
130,ISIC_0059601,1
131,ISIC_0064919,1
132,ISIC_0067960,1
133,ISIC_0071538,1
134,ISIC_0010863,1
135,ISIC_0062102,1
136,ISIC_0061715,1
137,ISIC_0072612,1
138,ISIC_0058196,1
139,ISIC_1729223,1
140,ISIC_0028041,1
141,ISIC_0032245,1
142,ISIC_0060341,1
143,ISIC_0028306,1
144,ISIC_0014189_downsampled,1
145,ISIC_0010319,1
146,ISIC_0031377,1
147,ISIC_0066404,1
148,ISIC_0058676,1
149,ISIC_0027693,1
150,ISIC_0066615,1
151,ISIC_5581297,1
152,ISIC_0055776,1
153,ISIC_0014979_downsampled,1
154,ISIC_0072799,1
155,ISIC_0066685,1
156,ISIC_0057997,1
157,ISIC_0072454,1
158,ISIC_0025035,1
159,ISIC_0032918,1
160,ISIC_0068554,1
161,ISIC_0033687,1
162,ISIC_0064860,1
163,ISIC_0010000,1
164,ISIC_0063691,1
165,ISIC_0028508,1
166,ISIC_0063945,1
167,ISIC_0489267,1
168,ISIC_0009897,1
169,ISIC_0064804,1
170,ISIC_0034202,1
171,ISIC_0033843,1
172,ISIC_0001128_downsampled,1
173,ISIC_0000300,1
174,ISIC_0069192,1
175,ISIC_0070888,1
176,ISIC_0067317,1
177,ISIC_0056600,1
178,ISIC_0063133,1
179,ISIC_3821242,1
180,ISIC_0071035,1
181,ISIC_0072030,1
182,ISIC_0015206_downsampled,1
183,ISIC_0059450,1
184,ISIC_3391427,1
185,ISIC_0014077_downsampled,1
186,ISIC_0057978,1
187,ISIC_0015142_downsampled,1
188,ISIC_0064933,1
189,ISIC_0059671,1
190,ISIC_0068882,1
191,ISIC_7312977,1
192,ISIC_8437493,1
193,ISIC_0063595,1
194,ISIC_0061624,1
195,ISIC_0057716,1
196,ISIC_0064266,1
197,ISIC_5137933,1
198,ISIC_0030539,1
199,ISIC_0028764,1
200,ISIC_0066407,1
201,ISIC_0028325,1
202,ISIC_0032248,1
203,ISIC_0031498,1
204,ISIC_0059273,1
205,ISIC_0054846,1
206,ISIC_0000283,1
207,ISIC_0059065,1
208,ISIC_0060555,1
209,ISIC_0059386,1
210,ISIC_0033193,1
211,ISIC_0060648,1
212,ISIC_0072063,1
213,ISIC_0072624,1
214,ISIC_5260050,1
215,ISIC_0056221,1
216,ISIC_0061049,1
217,ISIC_0025500,1
218,ISIC_0009993,1
219,ISIC_0032629,1
220,ISIC_0010054,1
221,ISIC_4000481,1
222,ISIC_0063496,1
223,ISIC_0029033,1
224,ISIC_0015041_downsampled,1
225,ISIC_0057147,1
226,ISIC_0027507,1
227,ISIC_0070227,1
228,ISIC_0031908,1
229,ISIC_0058046,1
230,ISIC_0060586,1
231,ISIC_0012208_downsampled,1
232,ISIC_4170698,1
233,ISIC_0054025,1
234,ISIC_0034145,1
235,ISIC_0026558,1
236,ISIC_0069197,1
237,ISIC_0064298,1
238,ISIC_0062162,1
239,ISIC_0032547,1
240,ISIC_0065248,1
241,ISIC_0067576,1
242,ISIC_0066659,1
243,ISIC_0054912,1
244,ISIC_0068164,1
245,ISIC_2979268,1
246,ISIC_0060355,1
247,ISIC_0032081,1
248,ISIC_0000294,1
249,ISIC_9367522,1
250,ISIC_0069988,1
251,ISIC_0072373,1
252,ISIC_0062850,1
253,ISIC_0071782,1
254,ISIC_0029995,1
255,ISIC_0031146,1
256,ISIC_0064549,1
257,ISIC_0063191,1
258,ISIC_0065516,1
259,ISIC_0014423_downsampled,1
260,ISIC_0073119,1
261,ISIC_0000445_downsampled,1
262,ISIC_0067006,1
263,ISIC_0034087,1
264,ISIC_8002875,1
265,ISIC_0000162,1
266,ISIC_0014186_downsampled,1
267,ISIC_8249854,1
268,ISIC_0000159,1
269,ISIC_0026989,1
270,ISIC_0072568,1
271,ISIC_0069119,1
272,ISIC_0030575,1
273,ISIC_0072287,1
274,ISIC_0064863,1
275,ISIC_0060239,1
276,ISIC_0064463,1
277,ISIC_0011135,1
278,ISIC_0064393,1
279,ISIC_0031972,1
280,ISIC_0059219,1
281,ISIC_5922588,1
282,ISIC_0058526,1
283,ISIC_0062762,1
284,ISIC_0066783,1
285,ISIC_0033300,1
286,ISIC_0032656,1
287,ISIC_0010231,1
288,ISIC_0055526,1
289,ISIC_0063930,1
290,ISIC_0064281,1
291,ISIC_0069821,1
292,ISIC_0069059,1
293,ISIC_0060508,1
294,ISIC_0053846,1
295,ISIC_0033779,1
296,ISIC_0055503,1
297,ISIC_0054599,1
298,ISIC_2447578,1
299,ISIC_0064062,1
300,ISIC_0056092,1
301,ISIC_0057729,1
302,ISIC_0057973,1
303,ISIC_0064014,1
304,ISIC_0058471,1
305,ISIC_0057169,1
306,ISIC_0058439,1
307,ISIC_0056263,1
308,ISIC_0014558_downsampled,1
309,ISIC_0071342,1
310,ISIC_0061448,1
311,ISIC_0066041,1
312,ISIC_0070050,1
313,ISIC_0057700,1
314,ISIC_8985109,1
315,ISIC_7183212,1
316,ISIC_0504165,1
317,ISIC_0028219,1
318,ISIC_0065577,1
319,ISIC_0069889,1
320,ISIC_0054334,1
321,ISIC_0060827,1
322,ISIC_0010081,1
323,ISIC_0032982,1
324,ISIC_0053909,1
325,ISIC_1393771,1
326,ISIC_0055918,1
327,ISIC_0059506,1
328,ISIC_0014809_downsampled,1
329,ISIC_0055841,1
330,ISIC_0024972,1
331,ISIC_0062891,1
332,ISIC_0033469,1
333,ISIC_0070992,1
334,ISIC_0054979,1
335,ISIC_0060297,1
336,ISIC_9012513,1
337,ISIC_0000444_downsampled,1
338,ISIC_0065374,1
339,ISIC_0014983_downsampled,1
340,ISIC_3097354,1
341,ISIC_0064997,1
342,ISIC_0011210,1
343,ISIC_0015046_downsampled,1
344,ISIC_0059840,1
345,ISIC_0033754,1
346,ISIC_0071532,1
347,ISIC_0054885,1
348,ISIC_0067307,1
349,ISIC_0033662,1
350,ISIC_0010466,1
351,ISIC_0059440,1
352,ISIC_0065954,1
353,ISIC_0024961,1
354,ISIC_0066225,1
355,ISIC_0033594,1
356,ISIC_0070253,1
357,ISIC_0061261,1
358,ISIC_0053766,1
359,ISIC_3915890,1
360,ISIC_0071834,1
361,ISIC_0067830,1
362,ISIC_0010322,1
363,ISIC_0073038,1
364,ISIC_2309744,1
365,ISIC_8052769,1
366,ISIC_0059253,1
367,ISIC_0011126,1
368,ISIC_8252406,1
369,ISIC_0032695,1
370,ISIC_0014369_downsampled,1
371,ISIC_0056346,1
372,ISIC_0013777_downsampled,1
373,ISIC_0027616,1
374,ISIC_0064909,1
375,ISIC_0070666,1
376,ISIC_0024739,1
377,ISIC_0055246,1
378,ISIC_0055297,1
379,ISIC_0010175,1
380,ISIC_0072595,1
381,ISIC_2141237,1
382,ISIC_1071355,1
383,ISIC_0034132,1
384,ISIC_0064822,1
385,ISIC_0026746,1
386,ISIC_0032970,1
387,ISIC_0032017,1
388,ISIC_0014527_downsampled,1
389,ISIC_0057188,1
390,ISIC_0067160,1
391,ISIC_0057286,1
392,ISIC_0013581_downsampled,1
393,ISIC_0056525,1
394,ISIC_0059804,1
395,ISIC_0028666,1
396,ISIC_0000521_downsampled,1
397,ISIC_0054226,1
398,ISIC_0069929,1
399,ISIC_6255113,1
400,ISIC_0063228,1
401,ISIC_0063829,1
402,ISIC_0066878,1
403,ISIC_0032984,1
404,ISIC_0055743,1
405,ISIC_0030512,1
406,ISIC_0072422,1
407,ISIC_0066422,1
408,ISIC_0070447,1
409,ISIC_0013639_downsampled,1
410,ISIC_0072002,1
411,ISIC_0068576,1
412,ISIC_0057762,1
413,ISIC_3446357,1
414,ISIC_0034059,1
415,ISIC_0014395_downsampled,1
416,ISIC_0031479,1
417,ISIC_0029884,1
